video_id,publishedAt,channelId,title,description,thumbnails.default.url,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,tags
f6PuOnuZWBc,2020-08-06T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club: Chapter 1:  Introduction (2020-08-04) (advr03),This is the introductory meeting of the R4DS Book Club for the cohort 3 meeting at CE(S)T/CAT Timezone Africa/ Europe. Join the conversation at r4ds.io/join!,https://i.ytimg.com/vi/f6PuOnuZWBc/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
1viu3ompHL0,2017-02-11T00:00:00Z,UC6fiFY3hkDaSuC7VtMsmbhg,Quick introduction to Regex expressions in R,"We use the grep() function with regular expressions to match complex text in R lists Check our 50% discount coupon on Udemy for ""Advanced R"" (5h course on ...",https://i.ytimg.com/vi/1viu3ompHL0/default.jpg,Amazing data science projects,NA,NA,NA,NA,NA,NA
-Dm5IEw0DUk,2020-11-01T00:00:00Z,UCxrpjLYi_Akmbc2QICDvKaQ,Introduction to Advanced Data Analysis in R programming language (Third Lesson/Class),"Prior knowledge of programming and statistics are not required. It's only an introduction to Advanced Data Analysis, and we will continue every Saturdays with ...",https://i.ytimg.com/vi/-Dm5IEw0DUk/default.jpg,Clement Twumasi Educative Channel,NA,NA,NA,NA,NA,NA
Occ9R82uXDc,2018-01-03T00:00:00Z,UCwAaWqnH2MqikDMpb1jBspw,Import Data sets in R (data format like CSV ) | R Programming Training | Prwatech,"In this video you will learn how to import data sets in R, #dataformat like CSV.See our previous video about importing data from tab delim ...",https://i.ytimg.com/vi/Occ9R82uXDc/default.jpg,Prwatech,NA,NA,NA,NA,NA,NA
8xWT6qimkTI,2018-05-22T00:00:00Z,UCycN0rxaIJ3g9ovDf3oGVhg,15 Useful R packages for Data Visualization,This video will give you a brief overview of 15 useful interdisciplinary R visualization packages. I have listed below all the links and reference projects sites ...,https://i.ytimg.com/vi/8xWT6qimkTI/default.jpg,Frank About AI - Franklin Christuraj,NA,NA,NA,NA,NA,NA
ThyJ8siKs4o,2015-08-20T00:00:00Z,UCkw4JCwteGrDHIsyIIKo4tQ,Advanced Predictive Modelling in R | R Tutorial for beginners - 1 | Big Data Tutorial | Edureka,This big data tutorial delves into advanced predictive modelling in R. View upcoming APMR Live class schedule: http://goo.gl/ugNzTA Edureka's Advanced ...,https://i.ytimg.com/vi/ThyJ8siKs4o/default.jpg,edureka!,NA,NA,NA,NA,NA,NA
RwDV802ckU8,2021-01-27T00:00:00Z,UCCktnahuRFYIBtNnKT5IYyg,R Tutorial For Beginners | R Programming Course | Learn R Language | R Training | Intellipaat,"Intellipaat Data Science with R course: https://intellipaat.com/data-scientist-course-training/ In this R Tutorial For Beginners video, you will learn r programming ...",https://i.ytimg.com/vi/RwDV802ckU8/default.jpg,Intellipaat,NA,NA,NA,NA,NA,NA
waUVA9K2CYg,2021-03-15T00:00:00Z,UCsvqVGtbbyHaMoevxPAq9Fg,Object Oriented Programming In Python | Python Object Oriented Programming Advanced | Simplilearn,"This video on object oriented programming in python will take you through all the basic concepts of OOPS ike class, object, inheritance and ploymorphism.",https://i.ytimg.com/vi/waUVA9K2CYg/default.jpg,Simplilearn,NA,NA,NA,NA,NA,NA
Wxq1ln92v5g,2018-11-04T00:00:00Z,UCuSAKl6Q4JPA9O_cEFYEPGg,Overlaid and Grouped ggplots - R for Economists Advanced 9,"This series of videos will serve as an introduction to the R statistics language, targeted at economists. In this video we go further into ggplot, detailing how to ...",https://i.ytimg.com/vi/Wxq1ln92v5g/default.jpg,Nick Huntington-Klein,NA,NA,NA,NA,NA,NA
Hxghhpe9fYs,2020-11-01T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club: Chapter 4: Subsetting (2020-10-26) (advr04),"Emily Wissel presenting Chapter 4: ""Subsetting"" from Advanced R by Hadley Wickham on October 26, 2020, to the R4DS Book Club (cohort 4). Join the ...",https://i.ytimg.com/vi/Hxghhpe9fYs/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
